Gene,FDR,FC
Bmp6,0.001549091,0.148120356
Bmp7,0.000788355,9.952841526
Bmpr2,3.04E-05,0.174147303
Bmyc,0.109781379,0.594977221
Bnc1,0.001968752,5.232297004
Bnip2,1.47E-05,0.34267977
Bnipl,0.000210288,4.732903954
Bnipl,0.000727306,4.413053224
Boc,0.012549547,0.433037449
Brca2,0.000253955,2.369324549
Brd7,0.001652153,0.45032828
Bri3bp,0.001302169,1.990733546
Brwd3,0.003765427,2.395976086
Bsg,0.002673098,4.309640268
Bspry,0.000198724,6.068555281
Btbd1,0.000116163,2.421508874
Btbd11,0.000184927,6.51409209
Btbd17,0.003342002,18.23980605
Btc,0.002082689,2.459301328
Btla,0.022674948,0.181709181
Btrc,0.06606936,0.541581899
Bub1,0.095207097,2.56252186
Bub1,0.154069565,2.363843292
Bub1,0.100427656,2.359748262
Bub1,0.128499185,2.355193906
Bub1,0.103876122,2.353128394
Bub1,0.087624013,2.320651072
Bub1,0.116174136,2.273452893
Bub1,0.114563342,2.252611863
Bub1,0.143920575,2.103382011
Bub1,0.21337839,2.024200597
Bub1b,0.145360949,2.573704281
Bzw1,0.005194541,2.397361753
Bzw2,0.00028185,3.186310765
C030013G03Rik,0.008365352,2.194930682
C030046I01Rik,3.87E-05,2.214496392
C030048H21Rik,0.003750568,0.161503342
C130074G19Rik,8.58E-05,0.193843777
C130074G19Rik,0.000699788,0.331595318
C1galt1,0.000191921,3.167444977
C1qa,0.08010582,2.224311269
C1qb,0.072695255,2.851946743
C1qc,0.051360709,2.856058824
C1qc,0.064308028,2.769605284
C1qc,0.057028585,2.759549652
C1qc,0.061520524,2.758624566
C1qc,0.059570713,2.728638422
C1qc,0.069110411,2.721849441
C1qc,0.061604828,2.705098723
C1qc,0.071474176,2.674407861
C1qc,0.07090117,2.651677461
C1qc,0.079848651,2.618113071
C1qtnf2,0.000346551,0.105747562
C1qtnf4,0.000403003,6.1794826
C1qtnf7,0.000199247,0.192315986
C1qtnf7,1.76E-05,0.269014183
